Japanese,NAME_OF_PUBLIC_HOLIDAY_EN
元日,New Year's day
成人の日,Coming of Age Day
春分の日,Vernal Equinox Day
天皇誕生日,Emperor's Birthday
憲法記念日,Constitution Memorial Day
こどもの日,Children's Day
秋分の日,Autumnal Equinox Day
文化の日,Culture Day
勤労感謝の日,Labour Thanksgiving Day
結婚の儀,Imperial marriage ceremony
敬老の日,Respect-for-the-Aged Day
体育の日,Health and Sports Day
建国記念の日,National Foundation Day
休日,Holiday
大喪の礼,Funeral service of a Japanese emperor
みどりの日,Greenery Day
即位礼正殿の儀,Enthronement ceremony
海の日,Marine Day
昭和の日,Shōwa Day
山の日,Mountain Day
休日（祝日扱い）,Holiday (National Holiday)
体育の日（スポーツの日）,Health and Sports Day
スポーツの日,Health and Sports Day